music,age,link,tag_1,tag_2
에픽하이 - Born Hater,20,https://youtu.be/3s1jaFDrp5M,시원한,래핑
Muse - Supermassive Black Hole,20,https://youtu.be/Xsp3_a-PMTw,락앤롤,뻥뚫리는
Sum 41 - Still Waiting,20,https://youtu.be/qO-mSLxih-c,헤비메탈,락앤롤
Sum 41 - The Hell Song,20,https://youtu.be/7pE8ReA5cn4,락앤롤,헤드뱅잉
Slipknot - Psychosocial,20,https://youtu.be/5abamRO41fE,헤비메탈,헤드뱅잉
Slipknot - All Out Life,20,https://youtu.be/wLoYIBEZEfw,헤비메탈,락앤롤
AC/DC - Thunderstruck,20,https://youtu.be/v2AC41dglnM,락앤롤,헤비메탈
AC/DC - Back In Black,20,https://youtu.be/pAgnJDJN4VA,헤드뱅잉,헤비메탈
Metallica - Hardwired,20,https://youtu.be/uhBHL3v4d3I,락앤롤,헤비메탈
Eminem - Without Me,20,https://youtu.be/YVkUvmDQ3HY,뻥뚫리는,랩
Eminem -  Lose Yourself,20,https://youtu.be/ZjB-sz62tJ8,시원한,랩
Eminem - 'Till I Collapse,20,https://youtu.be/Obim8BYGnOE,시원한,래핑
에픽하이 - Born Hater,30,https://youtu.be/3s1jaFDrp5M,시원한,래핑
Muse - Supermassive Black Hole,30,https://youtu.be/Xsp3_a-PMTw,락앤롤,뻥뚫리는
Sum 41 - Still Waiting,30,https://youtu.be/qO-mSLxih-c,헤비메탈,락앤롤
Sum 41 - The Hell Song,30,https://youtu.be/7pE8ReA5cn4,락앤롤,헤드뱅잉
Slipknot - Psychosocial,30,https://youtu.be/5abamRO41fE,헤비메탈,헤드뱅잉
Slipknot - All Out Life,30,https://youtu.be/wLoYIBEZEfw,헤비메탈,락앤롤
AC/DC - Thunderstruck,30,https://youtu.be/v2AC41dglnM,락앤롤,헤비메탈
AC/DC - Back In Black,30,https://youtu.be/pAgnJDJN4VA,헤드뱅잉,헤비메탈
Metallica - Hardwired,30,https://youtu.be/uhBHL3v4d3I,락앤롤,헤비메탈
Eminem - Without Me,30,https://youtu.be/YVkUvmDQ3HY,뻥뚫리는,랩
Eminem -  Lose Yourself,30,https://youtu.be/ZjB-sz62tJ8,시원한,랩
Eminem - 'Till I Collapse,30,https://youtu.be/Obim8BYGnOE,시원한,래핑
Sum 41 - Still Waiting,40,https://youtu.be/qO-mSLxih-c,헤비메탈,락앤롤
Sum 41 - The Hell Song,40,https://youtu.be/7pE8ReA5cn4,락앤롤,헤드뱅잉
Slipknot - Psychosocial,40,https://youtu.be/5abamRO41fE,헤비메탈,헤드뱅잉
Slipknot - All Out Life,40,https://youtu.be/wLoYIBEZEfw,헤비메탈,락앤롤
AC/DC - Thunderstruck,40,https://youtu.be/v2AC41dglnM,락앤롤,헤비메탈
AC/DC - Back In Black,40,https://youtu.be/pAgnJDJN4VA,헤드뱅잉,헤비메탈
Metallica - Hardwired,40,https://youtu.be/uhBHL3v4d3I,락앤롤,헤비메탈
