music_l,link_l
티아라 - Lie (거짓말),https://youtu.be/U7qJMC5TLV8
조항조 - 거짓말,https://youtu.be/DKJKh_fjwQM
이적 - Lie Lie Lie,https://youtu.be/2TK0eL50EkA
매드클라운 - 거짓말,https://youtu.be/za3Uun9ToS4
킬라그램 - 거짓말,https://youtu.be/BOPCTEpTidg
오마이걸 - LIAR LIAR,https://youtu.be/LNZKqhXCv5c
EXID - L.I.E,https://youtu.be/RnDSODY7bVE
buzz - 거짓말,https://youtu.be/yPeu7iFCtGg
god - 거짓말,https://youtu.be/KUFuN495SKE
페노메코 - L.I.E,https://youtu.be/e8CKH3PNKKs
카더가든 - Lie,https://youtu.be/9OAdIqMPJU4
틴탑 - Liar,https://youtu.be/YisadZKZkAY
Queen - Liar,https://youtu.be/oU7rqB9E_0M
플로우식 - BBUNG(뻥),https://youtu.be/A6Wp-MUhPbc
브로콜리너마저 - 그 모든 진짜같던 거짓말,https://youtu.be/5zRg2PJeM9U
김현정 - 거짓말처럼,https://youtu.be/IMoNvlmbRt0
김추자 - 거짓말이야,https://youtu.be/5UptXCh5FnA
토이 - 거짓말 같은 시간,https://youtu.be/gS1QYmgcDD0
지동국 - 다 거짓말,https://youtu.be/sii5kkejyUM
CHEEZE - Just as a Lie (거짓말처럼),https://youtu.be/sv1tcsVoHlw
혜이니 - RED LIE(새빨간 거짓말),https://youtu.be/COWvLZ7HDqA
서인영 - 거짓말 (Feat. 칸토),https://youtu.be/AqczmstPAG8
B1A4 - A lie(거짓말이야),https://youtu.be/x67c_lYqTQ8
오브로젝트 - 거짓말이잖아 (Feat. 이현우),https://youtu.be/TQEiXg2K-kU
빅스LR (VIXX LR) - Beautiful Liar ,https://youtu.be/55I7BIcysFQ
